City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Great Yarmouth,GB,52.6083,1.7305,61.05,96,60,9.57,broken clouds
79,Akureyri,IS,65.6835,-18.0878,50.85,82,100,6.04,overcast clouds
80,Port Alfred,ZA,-33.5906,26.891,69.84,46,0,10.38,clear sky
81,Nome,US,64.5011,-165.4064,41.16,60,97,8.16,overcast clouds
82,Healesville,AU,-37.65,145.5167,58.89,88,33,6.49,scattered clouds
83,Palestina,PS,31.9216,35.2033,59.94,57,0,2.28,clear sky
84,Ambilobe,MG,-13.2,49.05,69.37,86,25,2.82,scattered clouds
85,Sorong,ID,-0.8833,131.25,83.62,72,66,3.78,broken clouds
86,Chuy,UY,-33.6971,-53.4616,57.06,89,92,24.05,light rain
87,Pangnirtung,CA,66.1451,-65.7125,18.45,85,28,7.87,scattered clouds
88,Saint-Philippe,RE,-21.3585,55.7679,65.79,70,30,8.88,scattered clouds
89,Upernavik,GL,72.7868,-56.1549,15.57,94,46,5.53,scattered clouds
90,Aswan,EG,24.0934,32.907,80.24,19,39,10.0,scattered clouds
91,San Cristobal,VE,7.7669,-72.225,67.78,95,98,2.73,overcast clouds
92,East London,ZA,-33.0153,27.9116,68.38,50,0,5.53,clear sky
93,Kruisfontein,ZA,-34.0033,24.7314,67.59,37,0,11.9,clear sky
94,Atuona,PF,-9.8,-139.0333,79.09,70,0,14.61,clear sky
95,Ankazoabo,MG,-22.2833,44.5167,60.19,68,0,5.21,clear sky
96,Cooma,AU,-36.2333,149.1333,53.37,46,40,23.02,scattered clouds
97,Saint George,US,37.1041,-113.5841,91.99,10,0,13.8,clear sky
98,Cherskiy,RU,68.75,161.3,49.55,62,89,5.06,overcast clouds
99,Avarua,CK,-21.2078,-159.775,84.25,58,75,5.75,broken clouds
100,Esperance,AU,-33.8667,121.9,66.04,67,5,19.93,clear sky
101,Cabo San Lucas,MX,22.8909,-109.9124,76.6,74,87,10.0,overcast clouds
102,Galle,LK,6.0367,80.217,80.53,85,52,16.82,broken clouds
103,Hays,US,30.0502,-98.0336,85.15,51,96,1.01,overcast clouds
104,Phuket,TH,8.0,98.25,86.09,84,20,2.3,few clouds
105,Japura,ID,-0.3167,102.35,83.7,72,78,2.57,broken clouds
106,Pisco,PE,-13.7,-76.2167,62.02,93,68,2.95,broken clouds
107,Hervey Bay,AU,-25.2986,152.8535,77.02,85,71,5.01,broken clouds
108,Candido Mendes,BR,-1.4467,-45.7167,75.52,92,54,3.18,broken clouds
109,Santa Ana,US,33.7456,-117.8678,74.57,72,40,10.36,scattered clouds
110,Sencur,SI,46.2456,14.4197,56.08,91,40,1.14,scattered clouds
111,Le Port,RE,-20.9373,55.2919,71.56,74,13,3.76,few clouds
112,Saint Anthony,US,45.0205,-93.218,64.18,69,100,8.05,light rain
113,Camargo,MX,27.6667,-105.1667,81.9,23,68,16.67,broken clouds
114,Bosaso,SO,11.2842,49.1816,84.0,57,14,6.62,few clouds
115,Birao,CF,10.2849,22.7882,80.4,61,100,4.81,overcast clouds
116,Longyearbyen,SJ,78.2186,15.6401,28.24,69,20,4.61,few clouds
117,Sharan,RU,54.8167,54.0,43.86,87,48,4.41,scattered clouds
118,Riohacha,CO,11.5444,-72.9072,79.9,88,95,1.52,overcast clouds
119,Vardo,NO,70.3705,31.1107,31.98,93,100,17.27,light shower snow
120,Bonavista,CA,48.6499,-53.1147,39.94,83,100,18.21,overcast clouds
121,Arlit,NE,18.7369,7.3853,82.2,11,0,11.79,clear sky
122,Lumberton,US,34.6182,-79.0086,70.83,49,0,3.36,clear sky
123,Puerto Ayora,EC,-0.7393,-90.3518,73.54,96,100,1.01,overcast clouds
124,Pula,HR,44.8683,13.8481,66.76,68,0,10.36,clear sky
125,Lebu,CL,-37.6167,-73.65,51.66,69,7,4.07,clear sky
126,Bloomingdale,US,27.8936,-82.2404,81.05,83,0,1.99,clear sky
127,Ponta Delgada,PT,37.7333,-25.6667,59.72,77,75,9.22,broken clouds
128,Oktyabrskiy,RU,54.4815,53.471,43.97,88,70,4.61,broken clouds
129,Hasaki,JP,35.7333,140.8333,75.29,65,94,4.99,overcast clouds
130,Pedernales,DO,18.0384,-71.744,81.25,77,89,4.34,overcast clouds
131,Meadow Lake,US,34.8014,-106.5436,83.68,8,1,8.46,clear sky
132,Provideniya,RU,64.3833,-173.3,32.36,80,40,11.18,fog
133,Acapulco,MX,16.8634,-99.8901,82.08,62,26,6.67,scattered clouds
134,Paso De Patria,AR,-27.2454,-58.5454,52.07,83,2,7.25,clear sky
135,Bredasdorp,ZA,-34.5322,20.0403,70.68,30,100,7.96,overcast clouds
136,Alofi,NU,-19.0595,-169.9187,78.69,73,75,14.97,broken clouds
137,Nelson Bay,AU,-32.7167,152.15,66.0,54,1,3.0,clear sky
138,Coihaique,CL,-45.5752,-72.0662,30.81,100,100,0.0,mist
139,Flinders,AU,-34.5833,150.8552,68.38,53,0,8.99,clear sky
140,Haines Junction,CA,60.7522,-137.5108,42.22,67,92,5.21,overcast clouds
141,Alekseyevskaya,RU,50.2896,42.1845,43.81,82,3,7.94,clear sky
142,La Ronge,CA,55.1001,-105.2842,46.49,61,99,4.94,overcast clouds
143,Champua,IN,22.0833,85.6667,86.11,60,70,7.09,broken clouds
144,Zhuhai,CN,22.2769,113.5678,79.86,60,0,9.22,clear sky
145,Yuci,CN,37.6803,112.7319,71.35,26,0,2.24,clear sky
146,Aliwal North,ZA,-30.6937,26.7114,49.84,57,0,3.96,clear sky
147,Sinnamary,GF,5.3833,-52.95,79.03,89,97,8.68,overcast clouds
148,Yenagoa,NG,4.9247,6.2642,76.48,94,77,2.89,broken clouds
149,Mayo,US,38.8876,-76.5119,71.55,53,0,8.05,clear sky
150,Sparks,US,39.5349,-119.7527,79.81,14,0,13.8,smoke
151,Malanje,AO,-9.5402,16.341,59.9,70,57,3.15,broken clouds
152,Rundu,NA,-17.9333,19.7667,54.43,45,30,4.7,scattered clouds
153,Talnakh,RU,69.4865,88.3972,43.21,93,100,5.26,light rain
154,Saskylakh,RU,71.9167,114.0833,20.98,92,85,8.99,overcast clouds
155,Pacific Grove,US,36.6177,-121.9166,63.81,77,0,13.8,clear sky
156,Amapa,BR,1.0,-52.0,73.08,99,100,2.35,light rain
